DATE,COMNAM,NCUSIP,PERMNO
20050225,ADEPT TECHNOLOGY INC,685420,82664
20041210,ADEZA BIOMEDICAL CORP,686410,90468
19940927,ADFLEX SOLUTIONS INC,686610,80914
19990507,ADFORCE INC,686710,86877
20040616,ADESA INC,00686U10,90197
19841002,ADIA SERVICES INC,687410,85113
19861118,ADMAR GROUP INC,709310,10862
19910712,ADMAR GROUP INC,709330,10862
19980925,ADMIRALTY BANCORP INC,723110,86352
19851210,ADOBE RESOURCES CORP,724010,68216
19860813,ADOBE SYSTEMS INC,00724F10,75510
20001114,ADOLOR CORP,00724X10,88784
19801204,ADVANCE CIRCUITS INC,738310,10867
19920129,ADVACARE INC,00738B10,77288
19870224,ADTEC INC,00738C10,11128
20041216,ADVANCE AMERICA CASH ADV CTRS IN,00739W10,90493
19860408,ADVANCE DISPLAY TECHNOLOGIES INC,742210,10152
19970102,ADVANCE FINANCIAL BANCORP,743710,84404
19721214,ADVANCE ROSS CORP,750010,10875
19840214,ADVANCED CELLULAR TECHNOLOGY,750310,10883
19930617,ADVANCE ROSS CORP NEW,00750D10,10875
19970627,ADVANCED COMM SYSTEMS INC,00750X10,84999
20011129,ADVANCE AUTO PARTS INC,00751Y10,89217
19930910,ADVANCED DEPOSITION TECH INC,752110,79563
19961021,ADVANCED DIGITAL INFO CORP,752510,84044
20050804,ADVANCED ANALOGIC TCHNLGS INC,00752J10,90854
19970213,ADVANCED ELECTRONIC SUP PROD INC,753410,84509
19970423,ADVANCED MACHINE VISION CORP,00753B10,77398
19951212,ADVANCED LIGHTING TECHS INC,00753C10,82663
19920605,ADVANCED FINANCIAL INC,00753J30,77665
19860611,ADVANCED MAGNETICS INC,00753P10,10363
19930125,ADVANCED MAMMOGRAPHY SYSTEMS INC,00753Q10,78831
19930913,ADVANCED MATERIALS GROUP INC,00753U10,79562
19971104,ADVANCED TECHNICAL PRODUCTS INC,754810,50279
19961001,ADVANCED FIBRE COMM INC,00754A10,84047
19931027,ADVANCED OXYGEN TECHNOLOGIES INC,00754B10,14809
19890414,ADVANCED MEDICAL TECHS INC,00754C10,75477
19900914,ADVANCED MEDICAL INC,00754C10,75477
19910211,ADVANCED PHOTONIX INC,7.54E+12,76879
19930804,ADVANCED SURGICAL INC,00754R10,79471
19750605,ADVERTISING UNLIMITED LTD,755710,10990
19920323,ADVANTAGE BANCORP INC,00755C10,77431
19840907,ADVANCED TOB PRODS INC,00755G10,85156
19890807,ADVANTAGE ENTERTAINMENT INC,00755M10,75971
19941020,ADVANTAGE LIFE PRODUCTS INC,00755M20,75971
19950801,ADVANTAGE LIFE PRODUCTS INC,00755M30,75971
19960718,ADVANTAGE LIFE PRODUCTS INC,00755M40,75971
19971104,ADVANTAGE LIFE PRODUCTS INC,00755M50,75971
19920629,ADVANCED TECHNOLOGY LABS INC,00755N10,11000
19920214,ADVANTAGE HEALTH CORP,00755P10,77344
19801121,ADVEST GROUP INC,756610,64514
19980701,ADVANCED NEUROMODULATION SYS INC,00757T10,65083
19860915,ADVO SYSTEM INC,758510,10657
19920124,ADVO INC,758510,10657
19940510,ADVOCAT INC,758610,80587
19980713,AEGIS COMMUNICATIONS GROUP INC,00760B10,10386
19950406,AEGIS CONSUMER FUNDING GP INC,00760G10,81536
19900521,AEGIS GROUP PLC,00760H20,75565
19971016,AEGIS REALTY INC,00760P10,85410
20000808,ADVANCED POWER TECHNOLOGY INC,7.61E+12,88501
19840322,AEQUITRON MEDICAL INC,763110,10998
